店铺名称,平台,商品ID,平台店铺商品编码,线上商品编码,处理说明,可替换商品编码,是否换图
速班达家居,Alibaba,964562385148,ziluo03,ZH-dny002601N1015V01-1-DNZ025408N1217V01-1,全渠道下架,,否
速班达家居,Alibaba,964562385148,ziluo03,ZH-dny002601N1015V01-1-DNZ025410N887V01-1,全渠道下架,,否
速班达家居,Alibaba,964562385148,ziluo03,ZH-dny002601N1015V01-1-DNZ025411N613V01-1,全渠道下架,,否
速班达家居,Alibaba,964562385148,ziluo03,ZH-dny002601N1015V01-1-DNZ025413N1217V01-1,全渠道下架,,否
速班达家居,Alibaba,964562385148,ziluo03,ZH-dny002601N1015V01-2-DNZ025401N613V01-1,全渠道下架,,否
速班达家居,Alibaba,964562385148,ziluo03,ZH-dny002601N1015V01-2-DNZ025403N613V01-1,全渠道下架,,否
速班达家居,Alibaba,969417631184,SZ009709,SZ009705N205V01,全渠道下架,,否
速班达家居,Alibaba,969417631184,SZ009709,SZ009706N205V01,全渠道下架,,否
速班达家居,Alibaba,969417631184,SZ009709,SZ009711N205V01,全渠道下架,,否
速班达家居,Alibaba,969417631184,SZ009709,SZ009718N181V01,全渠道下架,,否
速班达家居,Alibaba,969417631184,SZ009709,SZ009719N181V01,全渠道下架,,否
速班达家居,Alibaba,969417631184,SZ009709,SZ009720N181V01,全渠道下架,,否
速班达家居,Alibaba,969417631184,SZ009709,SZ009721N181V01,全渠道下架,,否
速班达家居,Alibaba,969417631184,SZ009709,SZ009722N181V01,全渠道下架,,否
速班达家居,Alibaba,969417631184,SZ009709,SZ009741N205V01,全渠道下架,,否
速班达家居,Alibaba,969417631184,SZ009709,SZ009742N205V01,全渠道下架,,否
速班达家居,Alibaba,969417631184,SZ009709,ZH-DNY004624N1015V01-1-SZ009718N181V01-1,全渠道下架,,否
速班达家居,Alibaba,969417631184,SZ009709,ZH-DNY004624N1015V01-1-SZ009719N181V01-1,全渠道下架,,否
速班达家居,Alibaba,969417631184,SZ009709,ZH-DNY004624N1015V01-1-SZ009720N181V01-1,全渠道下架,,否
速班达家居,Alibaba,969417631184,SZ009709,ZH-DNY004624N1015V01-1-SZ009721N181V01-1,全渠道下架,,否
速班达家居,Alibaba,969417631184,SZ009709,ZH-DNY004624N1015V01-1-SZ009722N181V01-1,全渠道下架,,否
速班达家居,Alibaba,969417631184,SZ009709,ZH-dny002601N1015V01-1-SZ009705N205V01-1,全渠道下架,,否
速班达家居,Alibaba,969417631184,SZ009709,ZH-dny002601N1015V01-1-SZ009706N205V01-1,全渠道下架,,否
速班达家居,Alibaba,969417631184,SZ009709,ZH-dny002601N1015V01-1-SZ009711N205V01-1,全渠道下架,,否
速班达家居,Alibaba,973320538280,其他,SYT000601N1170V01,全渠道下架,,否
速班达家居,Alibaba,973320538280,其他,SYT000701N113V01,全渠道下架,,否
速班达家居,Alibaba,973320538280,其他,SYT000704N113V01,全渠道下架,,否
速班达家居,Alibaba,973320538280,其他,YJT000102N961V01,全渠道下架,,否
速班达家居,Alibaba,973320538280,其他,YJT000103N1170V01,全渠道下架,,否
速班达家居,Alibaba,973320538280,其他,YJT000107N1170V01,全渠道下架,,否
速班达家居,Alibaba,973320538280,其他,YJT000108N1170V01,全渠道下架,,否
速班达家居,Alibaba,973320538280,其他,YJT000203N961V01,全渠道下架,,否
速班达家居,Alibaba,973320538280,其他,YJT000207N961V01,全渠道下架,,否
速班达家居,Alibaba,973320538280,其他,YJT000208N961V01,全渠道下架,,否
速班达家居,Alibaba,973320538280,其他,YJT000210N961V01,全渠道下架,,否
速班达家居,Alibaba,973320538280,其他,YJT000211N961V01,全渠道下架,,否
速班达家居,Alibaba,973320538280,其他,YJT000802N961V01,全渠道下架,,否
速班达家居,Alibaba,973480751525,ml10029,DNZ005366N965V01,全渠道下架,,否
速班达家居,Alibaba,973480751525,ml10029,DNZ005367N965V01,全渠道下架,,否
速班达家居,Alibaba,973480751525,ml10029,DNZ005368N965V01,全渠道下架,,否
速班达家居,Alibaba,973480751525,ml10029,DNZ005369N965V01,全渠道下架,,否
速班达家居,Alibaba,973480751525,ml10029,DNZ005370N965V01,全渠道下架,,否
速班达家居,Alibaba,973480751525,ml10029,DNZ005371N965V01,全渠道下架,,否
速班达家居,Alibaba,973480751525,ml10029,DNZ005372N965V01,全渠道下架,,否
速班达家居,Alibaba,973480751525,ml10029,DNZ015467N68V01,全渠道下架,,否
速班达家居,Alibaba,973480751525,ml10029,DNZ015470N68V01,全渠道下架,,否
速班达家居,Alibaba,973480751525,ml10029,DNZ038014N68V01,全渠道下架,,否
速班达家居,Alibaba,973480751525,ml10029,ZH-cy000902N965V01-1-DNZ005366N965V01-1,全渠道下架,,否
速班达家居,Alibaba,973480751525,ml10029,ZH-cy000902N965V01-1-DNZ005367N965V01-1,全渠道下架,,否
速班达家居,Alibaba,973480751525,ml10029,ZH-cy000902N965V01-1-DNZ005368N965V01-1,全渠道下架,,否
速班达家居,Alibaba,973480751525,ml10029,ZH-cy000902N965V01-1-DNZ005369N965V01-1,全渠道下架,,否
速班达家居,Alibaba,973480751525,ml10029,ZH-cy000902N965V01-1-DNZ005370N965V01-1,全渠道下架,,否
速班达家居,Alibaba,973480751525,ml10029,ZH-cy000902N965V01-1-DNZ005371N965V01-1,全渠道下架,,否
速班达家居,Alibaba,973480751525,ml10029,ZH-cy000902N965V01-1-DNZ005372N965V01-1,全渠道下架,,否
速班达家居,Alibaba,973930663791,ml10048,CJ021901N371V01,全渠道下架,,否
速班达家居,Alibaba,973930663791,ml10048,CJ021902N371V01,全渠道下架,,否
速班达家居,Alibaba,973930663791,ml10048,CJ021903N371V01,全渠道下架,,否
速班达家居,Alibaba,973930663791,ml10048,CZ010601N1178V01,全渠道下架,,否
速班达家居,Alibaba,973930663791,ml10048,CZ010602N1178V01,全渠道下架,,否
速班达家居,Alibaba,973930663791,ml10048,CZ010603N1178V01,全渠道下架,,否
速班达家居,Alibaba,973930663791,ml10048,CZ010604N1178V01,全渠道下架,,否
速班达家居,Alibaba,973930663791,ml10048,CZ010605N1178V01,全渠道下架,,否
速班达家居,Alibaba,973930663791,ml10048,CZ010606N1178V01,全渠道下架,,否
速班达家居,Alibaba,973930663791,ml10048,SZ018401N1150V01,全渠道下架,,否
速班达家居,Alibaba,973930663791,ml10048,SZ018402N1150V01,全渠道下架,,否
速班达家居,Alibaba,973930663791,ml10048,SZ018403N1150V01,全渠道下架,,否
速班达家居,Alibaba,973930663791,ml10048,SZ018404N1150V01,全渠道下架,,否
速班达家居,Alibaba,973930663791,ml10048,ZH-CY000917N965V01-4-CZ010602N1178V01-1,全渠道下架,,否
速班达家居,Alibaba,973930663791,ml10048,ZH-CY000917N965V01-4-CZ010604N1178V01-1,全渠道下架,,否
速班达家居,Alibaba,973930663791,ml10048,ZH-CY000917N965V01-4-CZ010606N1178V01-1,全渠道下架,,否
速班达家居,Alibaba,973930663791,ml10048,ZH-cy000901N965V01-2,全渠道下架,,否
速班达家居,Alibaba,973930663791,ml10048,ZH-cy000902N965V01-2,全渠道下架,,否
